*Scheduled	Actual
07/01/1980 2:40 AM	07/01/1980 4:00 AM
07/01/1980 3:00 AM	07/01/1980 3:00 AM
07/01/1980 4:40 AM	07/01/1980 4:40 AM
07/01/1980 5:30 AM	07/01/1980 5:30 AM
07/01/1980 6:00 AM	07/01/1980 6:01 AM
07/01/1980 6:05 AM	07/01/1980 6:05 AM
07/01/1980 6:10 AM	07/01/1980 6:10 AM
07/01/1980 6:20 AM	07/01/1980 6:22 AM
07/01/1980 6:45 AM	07/01/1980 6:46 AM
07/01/1980 6:55 AM	07/01/1980 10:28 AM
07/01/1980 7:00 AM	07/01/1980 7:00 AM
07/01/1980 7:05 AM	07/01/1980 7:30 AM
07/01/1980 7:15 AM	07/01/1980 7:17 AM
07/01/1980 7:17 AM	07/01/1980 7:17 AM
07/01/1980 7:25 AM	07/01/1980 7:25 AM
07/01/1980 8:00 AM	07/01/1980 8:00 AM
07/01/1980 8:00 AM	07/01/1980 9:52 AM
07/01/1980 8:10 AM	07/01/1980 8:10 AM
07/01/1980 8:15 AM	07/01/1980 8:19 AM
07/01/1980 8:30 AM	07/01/1980 10:36 AM
07/01/1980 9:00 AM	07/01/1980 9:00 AM
07/01/1980 9:30 AM	07/01/1980 9:30 AM
07/01/1980 9:35 AM	07/01/1980 9:37 AM
07/01/1980 10:00 AM	07/01/1980 10:05 AM
07/01/1980 10:03 AM	07/01/1980 11:03 AM
07/01/1980 10:20 AM	07/01/1980 10:20 AM
07/01/1980 10:35 AM	07/01/1980 11:00 AM
07/01/1980 10:52 AM	07/01/1980 10:54 AM
07/01/1980 11:00 AM	07/01/1980 11:19 AM
07/01/1980 11:00 AM	07/01/1980 11:14 AM
07/01/1980 11:02 AM	07/01/1980 11:34 AM
07/01/1980 11:20 AM	07/01/1980 11:20 AM
07/01/1980 11:33 AM	07/01/1980 12:09 PM
07/01/1980 11:35 AM	07/01/1980 12:23 PM
07/01/1980 12:00 PM	07/01/1980 12:00 PM
07/01/1980 12:03 PM	07/01/1980 12:09 PM
07/01/1980 12:05 PM	07/01/1980 12:06 PM
07/01/1980 12:30 PM	07/01/1980 12:43 PM
07/01/1980 12:35 PM	07/01/1980 12:46 PM
07/01/1980 1:00 PM	07/01/1980 1:06 PM
07/01/1980 1:03 PM	07/01/1980 1:19 PM
07/01/1980 1:20 PM	07/01/1980 1:29 PM
07/01/1980 2:00 PM	07/01/1980 2:06 PM
07/01/1980 2:00 PM	07/01/1980 2:01 PM
07/01/1980 2:02 PM	07/01/1980 2:09 PM
07/01/1980 2:11 PM	07/01/1980 2:12 PM
07/01/1980 2:15 PM	07/01/1980 4:03 PM
07/01/1980 2:20 PM	07/01/1980 2:20 PM
07/01/1980 2:44 PM	07/01/1980 2:44 PM
07/01/1980 3:00 PM	07/01/1980 3:16 PM
07/01/1980 3:00 PM	07/01/1980 3:00 PM
07/01/1980 3:05 PM	07/01/1980 3:05 PM
07/01/1980 3:15 PM	07/01/1980 3:46 PM
07/01/1980 3:15 PM	07/01/1980 3:24 PM
07/01/1980 3:30 PM	07/01/1980 3:42 PM
07/01/1980 3:35 PM	07/01/1980 3:35 PM
07/01/1980 3:40 PM	07/01/1980 3:41 PM
07/01/1980 4:00 PM	07/01/1980 4:07 PM
07/01/1980 4:00 PM	07/01/1980 4:05 PM
07/01/1980 4:03 PM	07/01/1980 4:07 PM
07/01/1980 4:05 PM	07/01/1980 4:07 PM
07/01/1980 4:40 PM	07/01/1980 4:40 PM
07/01/1980 4:42 PM	07/01/1980 4:43 PM
07/01/1980 5:00 PM	07/01/1980 5:13 PM
07/01/1980 5:00 PM	07/01/1980 5:14 PM
07/01/1980 5:10 PM	07/01/1980 5:10 PM
07/01/1980 5:39 PM	07/01/1980 5:39 PM
07/01/1980 5:42 PM	07/01/1980 10:48 PM
07/01/1980 5:47 PM	07/01/1980 5:47 PM
07/01/1980 6:00 PM	07/01/1980 6:00 PM
07/01/1980 6:00 PM	07/01/1980 6:11 PM
07/01/1980 6:25 PM	07/01/1980 7:10 PM
07/01/1980 6:35 PM	07/01/1980 7:18 PM
07/01/1980 6:45 PM	07/01/1980 10:21 PM
07/01/1980 6:45 PM	07/01/1980 7:15 PM
07/01/1980 7:00 PM	07/01/1980 7:36 PM
07/01/1980 7:00 PM	07/01/1980 8:11 PM
07/01/1980 7:15 PM	07/01/1980 7:15 PM
07/01/1980 7:40 PM	07/01/1980 8:25 PM
07/01/1980 7:50 PM	07/01/1980 8:38 PM
07/01/1980 8:00 PM	07/01/1980 8:18 PM
07/01/1980 8:55 PM	07/01/1980 8:55 PM
07/01/1980 9:05 PM	07/01/1980 9:13 PM
07/01/1980 9:10 PM	07/01/1980 9:10 PM
07/01/1980 10:05 PM	07/01/1980 11:11 PM
07/01/1980 10:45 PM	07/01/1980 10:55 PM
07/01/1980 11:15 PM	07/01/1980 11:15 PM
07/02/1980 2:40 AM	07/02/1980 2:49 AM
07/02/1980 3:00 AM	07/02/1980 3:00 AM
07/02/1980 4:40 AM	07/02/1980 4:40 AM
07/02/1980 5:30 AM	07/02/1980 5:30 AM
07/02/1980 6:00 AM	07/02/1980 6:02 AM
07/02/1980 6:05 AM	07/02/1980 6:11 AM
07/02/1980 6:10 AM	07/02/1980 6:16 AM
07/02/1980 6:20 AM	07/02/1980 6:22 AM
07/02/1980 6:55 AM	07/02/1980 6:59 AM
07/02/1980 7:00 AM	07/02/1980 7:00 AM
07/02/1980 7:05 AM	07/02/1980 7:05 AM
07/02/1980 7:15 AM	07/02/1980 7:17 AM
07/02/1980 7:17 AM	07/02/1980 7:17 AM
07/02/1980 7:25 AM	07/02/1980 7:25 AM
07/02/1980 8:00 AM	07/02/1980 8:00 AM
07/02/1980 8:00 AM	07/02/1980 8:00 AM
07/02/1980 8:10 AM	07/02/1980 8:11 AM
07/02/1980 8:15 AM	07/02/1980 8:15 AM
07/02/1980 8:30 AM	07/02/1980 8:32 AM
07/02/1980 9:00 AM	07/02/1980 9:09 AM
07/02/1980 9:30 AM	07/02/1980 9:30 AM
07/02/1980 9:35 AM	07/02/1980 9:39 AM
07/02/1980 10:00 AM	07/02/1980 10:01 AM
07/02/1980 10:03 AM	07/02/1980 10:05 AM
07/02/1980 10:20 AM	07/02/1980 10:22 AM
07/02/1980 10:35 AM	07/02/1980 10:35 AM
07/02/1980 10:52 AM	07/02/1980 10:55 AM
07/02/1980 11:00 AM	07/02/1980 11:17 AM
07/02/1980 11:00 AM	07/02/1980 11:00 AM
07/02/1980 11:02 AM	07/02/1980 11:03 AM
07/02/1980 11:20 AM	07/02/1980 11:20 AM
07/02/1980 11:33 AM	07/02/1980 11:34 AM
