Year,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,TB,HBP,SH,SF,IBB
1951,NYY,96,386,341,61,91,11,5,13,65,8,7,43,74,0.267,0.349,0.443,151,0,2,,
1952,NYY,142,626,549,94,171,37,7,23,87,4,1,75,111,0.311,0.394,0.53,291,0,2,,
1953,NYY,127,540,461,105,136,24,3,21,92,8,4,79,90,0.295,0.398,0.497,229,0,0,,
1954,NYY,146,649,543,129,163,17,12,27,102,5,2,102,107,0.3,0.408,0.525,285,0,2,4,
1955,NYY,147,638,517,121,158,25,11,37,99,8,1,113,97,0.306,0.431,0.611,316,3,2,3,6
1956,NYY,150,652,533,132,188,22,5,52,130,10,1,112,99,0.353,0.464,0.705,376,2,1,4,6
1957,NYY,144,623,474,121,173,28,6,34,94,16,3,146,75,0.365,0.512,0.665,315,0,0,3,23
1958,NYY,150,654,519,127,158,21,1,42,97,18,3,129,120,0.304,0.443,0.592,307,2,2,2,13
1959,NYY,144,640,541,104,154,23,4,31,75,21,3,93,126,0.285,0.39,0.514,278,2,1,2,6
1960,NYY,153,643,527,119,145,17,6,40,94,14,3,111,125,0.275,0.399,0.558,294,1,0,5,6
1961,NYY,153,646,514,131,163,16,6,54,128,12,1,126,112,0.317,0.448,0.687,353,0,1,5,9
1962,NYY,123,502,377,96,121,15,1,30,89,9,0,122,78,0.321,0.486,0.605,228,1,0,2,9
1963,NYY,65,213,172,40,54,8,0,15,35,2,1,40,32,0.314,0.441,0.622,107,0,0,1,4
1964,NYY,143,567,465,92,141,25,2,35,111,6,3,99,102,0.303,0.423,0.591,275,0,0,3,18
1965,NYY,122,435,361,44,92,12,1,19,46,4,1,73,76,0.255,0.379,0.452,163,0,0,1,7
1966,NYY,108,393,333,40,96,12,1,23,56,1,1,57,76,0.288,0.389,0.538,179,0,0,3,5
1967,NYY,144,553,440,63,108,17,0,22,55,1,1,107,113,0.245,0.391,0.434,191,1,0,5,7
1968,NYY,144,547,435,57,103,14,1,18,54,6,2,106,97,0.237,0.385,0.398,173,1,1,4,7
