California	39,631,049	37,254,523
Texas	29,198,529	25,145,561
Florida	21,618,602	18,801,310
New York	19,457,533	19,378,102
Pennsylvania	12,807,232	12,702,379
Illinois	12,663,463	12,830,632
Ohio	11,697,131	11,536,504
Georgia	10,666,358	9,687,653
North Carolina	10,538,221	9,535,483
Michigan	9,992,289	9,883,640
New Jersey	8,886,942	8,791,894
Virginia	8,563,650	8,001,024
Washington	7,661,754	6,724,540
Arizona	7,325,385	6,392,017
Massachusetts	6,970,654	6,547,629
Tennessee	6,858,809	6,346,105
Indiana	6,745,294	6,483,802
Missouri	6,145,244	5,988,927
Maryland	6,060,003	5,773,552
Wisconsin	5,829,563	5,686,986
Colorado	5,797,133	5,029,196
Minnesota	5,657,301	5,303,925
South Carolina	5,176,259	4,625,364
Alabama	4,909,682	4,779,736
Louisiana	4,654,869	4,533,372
Kentucky	4,474,426	4,339,367
Oregon	4,238,088	3,831,074
Oklahoma	3,967,793	3,751,351
Connecticut	3,564,823	3,574,097
Utah	3,229,225	2,763,885
Puerto Rico	3,165,689	3,725,789
Iowa	3,160,792	3,046,355
Nevada	3,100,135	2,700,551
Arkansas	3,023,189	2,915,918
Mississippi	2,976,615	2,967,297
Kansas	2,916,482	2,853,118
New Mexico	2,098,811	2,059,179
Nebraska	1,940,096	1,826,341
Idaho	1,803,880	1,567,582
West Virginia	1,783,681	1,852,994
Hawaii	1,418,797	1,360,301
New Hampshire	1,361,987	1,316,470
Maine	1,345,046	1,328,361
Montana	1,072,955	989,415
Rhode Island	1,059,719	1,052,567
Delaware	977,755	897,934
South Dakota	888,368	814,180
North Dakota	766,771	672,591
Alaska	732,667	710,231
District of Columbia	711,224	601,723
Vermont	623,897	625,741
Wyoming	579,555	563,626
