SEX,AGE,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014
A,0,"3,951,330","3,963,071","3,926,665","3,945,610","3,948,350"
A,1,"3,957,888","3,966,510","3,978,006","3,943,077","3,962,123"
A,2,"4,090,862","3,971,573","3,979,952","3,992,690","3,957,772"
A,3,"4,111,920","4,102,501","3,983,049","3,992,425","4,005,190"
A,4,"4,077,552","4,122,303","4,112,638","3,994,047","4,003,448"
A,5,"4,064,653","4,087,713","4,132,210","4,123,408","4,004,858"
A,6,"4,073,013","4,074,979","4,097,780","4,143,094","4,134,352"
A,7,"4,043,047","4,083,240","4,084,964","4,108,615","4,154,000"
A,8,"4,025,604","4,053,206","4,093,213","4,095,827","4,119,524"
A,9,"4,125,415","4,035,769","4,063,193","4,104,133","4,106,832"
A,10,"4,187,063","4,135,617","4,045,840","4,074,206","4,115,254"
A,11,"4,115,511","4,197,472","4,145,919","4,057,128","4,085,636"
A,12,"4,113,280","4,126,168","4,208,013","4,157,449","4,068,790"
A,13,"4,119,666","4,124,244","4,136,951","4,219,776","4,169,346"
A,14,"4,145,614","4,131,487","4,135,749","4,149,559","4,232,480"
A,15,"4,231,003","4,158,977","4,144,326","4,149,781","4,163,723"
A,16,"4,313,252","4,247,472","4,174,855","4,161,624","4,167,234"
A,17,"4,376,368","4,334,957","4,268,503","4,197,758","4,184,706"
A,18,"4,491,005","4,402,634","4,360,345","4,296,134","4,225,590"
A,19,"4,571,385","4,520,683","4,430,960","4,390,087","4,326,394"
A,20,"4,568,470","4,600,421","4,550,552","4,459,958","4,418,887"
A,21,"4,387,914","4,596,145","4,633,178","4,580,949","4,489,746"
A,22,"4,286,987","4,415,297","4,628,678","4,666,392","4,612,322"
A,23,"4,217,221","4,314,751","4,447,266","4,661,403","4,698,584"
A,24,"4,243,589","4,244,542","4,346,226","4,479,243","4,692,635"
A,25,"4,289,424","4,269,956","4,275,655","4,377,385","4,509,594"
A,26,"4,160,810","4,313,805","4,299,059","4,305,217","4,406,472"
A,27,"4,237,010","4,183,474","4,340,038","4,326,704","4,332,545"
A,28,"4,247,540","4,258,146","4,207,330","4,364,812","4,351,851"
A,29,"4,210,285","4,266,588","4,280,142","4,230,048","4,387,476"
A,30,"4,304,244","4,227,415","4,285,874","4,300,627","4,250,780"
A,31,"4,042,507","4,319,572","4,244,611","4,303,694","4,318,706"
A,32,"3,967,603","4,055,955","4,335,235","4,261,256","4,320,072"
A,33,"3,933,570","3,980,018","4,069,723","4,349,928","4,276,113"
A,34,"3,822,188","3,944,620","3,992,611","4,082,539","4,362,895"
A,35,"3,948,318","3,832,502","3,955,942","4,004,456","4,094,039"
A,36,"3,830,202","3,957,029","3,842,263","3,965,564","4,014,413"
A,37,"3,896,776","3,837,814","3,965,664","3,851,119","3,974,190"
A,38,"4,080,229","3,903,277","3,845,503","3,973,390","3,859,181"
A,39,"4,324,460","4,085,771","3,909,207","3,851,949","3,979,827"
A,40,"4,387,483","4,327,743","4,090,134","3,913,982","3,856,888"
A,41,"4,163,470","4,388,941","4,330,257","4,093,483","3,917,413"
A,42,"4,082,733","4,164,004","4,390,026","4,331,851","4,095,929"
A,43,"4,093,841","4,082,479","4,164,073","4,389,840","4,332,491"
A,44,"4,178,501","4,092,604","4,081,719","4,163,387","4,388,762"
A,45,"4,438,551","4,175,439","4,090,411","4,079,605","4,161,450"
A,46,"4,529,712","4,433,594","4,171,208","4,086,799","4,076,237"
A,47,"4,535,464","4,522,493","4,427,137","4,165,962","4,082,150"
A,48,"4,534,669","4,526,007","4,513,643","4,418,934","4,158,996"
A,49,"4,599,102","4,523,366","4,515,116","4,503,246","4,409,209"
A,50,"4,646,251","4,585,728","4,510,701","4,502,720","4,491,431"
A,51,"4,498,994","4,631,187","4,570,693","4,496,145","4,488,666"
A,52,"4,480,630","4,482,274","4,613,986","4,553,710","4,480,175"
A,53,"4,439,422","4,462,028","4,463,630","4,595,211","4,535,748"
A,54,"4,288,475","4,419,019","4,441,593","4,443,510","4,574,789"
A,55,"4,259,012","4,266,705","4,396,537","4,419,299","4,421,625"
A,56,"4,093,161","4,236,097","4,243,307","4,372,416","4,395,471"
A,57,"3,946,548","4,069,059","4,211,174","4,218,311","4,347,179"
A,58,"3,802,467","3,921,318","4,043,248","4,184,160","4,191,757"
A,59,"3,694,276","3,776,136","3,894,493","4,015,049","4,155,417"
A,60,"3,616,733","3,667,142","3,748,044","3,865,188","3,985,367"
A,61,"3,520,121","3,588,516","3,637,748","3,717,715","3,834,428"
A,62,"3,495,073","3,489,637","3,557,701","3,605,936","3,685,822"
A,63,"3,652,174","3,461,414","3,456,782","3,523,891","3,572,379"
A,64,"2,706,063","3,614,400","3,425,920","3,421,079","3,488,136"
A,65,"2,678,532","2,675,970","3,574,806","3,388,166","3,384,449"
A,66,"2,621,346","2,646,389","2,644,091","3,531,557","3,347,776"
A,67,"2,693,709","2,586,335","2,612,156","2,609,726","3,485,502"
A,68,"2,359,819","2,654,140","2,548,804","2,574,784","2,572,527"
A,69,"2,167,833","2,321,963","2,612,207","2,508,782","2,535,012"
A,70,"2,062,581","2,129,733","2,282,169","2,567,340","2,466,485"
A,71,"1,953,614","2,023,019","2,090,057","2,239,534","2,519,748"
A,72,"1,883,821","1,912,459","1,981,768","2,047,549","2,194,234"
A,73,"1,750,309","1,840,179","1,869,510","1,937,455","2,002,191"
A,74,"1,685,999","1,705,665","1,794,816","1,823,535","1,890,366"
A,75,"1,631,879","1,638,735","1,659,415","1,746,314","1,774,697"
A,76,"1,481,683","1,581,387","1,589,617","1,609,791","1,694,648"
A,77,"1,449,173","1,430,885","1,529,072","1,537,153","1,557,239"
A,78,"1,402,184","1,394,601","1,378,456","1,473,161","1,481,505"
A,79,"1,354,913","1,343,759","1,338,342","1,322,661","1,414,235"
A,80,"1,319,725","1,292,479","1,283,654","1,278,653","1,264,072"
A,81,"1,212,603","1,252,515","1,228,370","1,219,980","1,216,009"
A,82,"1,158,352","1,143,972","1,183,753","1,160,857","1,153,634"
A,83,"1,081,442","1,085,393","1,073,879","1,111,333","1,090,465"
A,84,"987,026","1,005,439","1,011,221","1,000,403","1,036,186"
A,85,"915,015","909,449","928,851","934,211","924,969"
A,86,"821,550","835,003","832,128","850,026","855,696"
A,87,"721,195","741,557","756,235","753,560","770,685"
A,88,"636,657","643,272","663,894","677,229","675,487"
A,89,"546,193","560,102","568,779","587,159","599,834"
A,90,"448,323","473,899","488,100","496,118","512,845"
